sample_id,state_colony_frgmt_ms,state,colony_ms,nr_reads,nr_features
BROWN-SYM-6-16S,S_HK1_6,symbiotic,HK1,4095,49
BROWN-SYM-8-16S,S_HK1_8,symbiotic,HK1,4489,62
GREEN-SYM-4-16S,S_HK2_4,symbiotic,HK2,5176,55
GREEN-SYM-6-16S,S_HK2_6,symbiotic,HK2,4971,52
GREEN-SYM-7-16S,S_HK2_7,symbiotic,HK2,4484,47
S-6-17-16S,S_RS1_17,symbiotic,RS1,4511,11
S-6-30-16S,S_RS1_30,symbiotic,RS1,4481,13
S-6-31-16S,S_RS1_31,symbiotic,RS1,2690,10
S-53-17-16S,S_RS2_17,symbiotic,RS2,4473,45
S-53-20-16S,S_RS2_20,symbiotic,RS2,5438,67
S-53-27-16S,S_RS2_27,symbiotic,RS2,3506,54
S-60-3-16S,S_RS3_3,symbiotic,RS3,1375,20
S-60-5-16S,S_RS3_5,symbiotic,RS3,2967,31
S-60-9-16S,S_RS3_9,symbiotic,RS3,3020,46
C1-16S,Control,control,control,2113,22
BROWN-B1-2-16S,B_HK1_2,bleached,HK1,4953,67
BROWN-BI-1-16S,B_HK1_1,bleached,HK1,4100,72
BROWN-BI-3-16S,B_HK1_3,bleached,HK1,4178,55
GREEN-BI-1-16S,B_HK2_1,bleached,HK2,4406,46
GREEN-BI-2-16S,B_HK2_2,bleached,HK2,3680,36
B-6-16-16S,B_RS1_16,bleached,RS1,3948,50
B-6-24-16S,B_RS1_24,bleached,RS1,4530,74
B-6-7-16S,B_RS1_7,bleached,RS1,4648,42
B-53-11-16S,B_RS2_11,bleached,RS2,4877,29
B-53-43-16S,B_RS2_43,bleached,RS2,3793,35
B-53-6-16S,B_RS2_6,bleached,RS2,3208,33
B-60-14-16S,B_RS3_14,bleached,RS3,4026,78
B-60-15-16S,B_RS3_15,bleached,RS3,3376,63
B-60-25-16S,B_RS3_25,bleached,RS3,3390,40
